Accession ID	Collection date	Submission date	Location
EPI_ISL_1534599	2021-03-30	2021-04-11	South America / Chile / Region Metropolitana de Santiago / San Miguel
EPI_ISL_1534600	2021-03-30	2021-04-11	South America / Chile / Region Metropolitana de Santiago / Pudahuel
EPI_ISL_1534609	2021-03-31	2021-04-11	South America / Chile / Arica and Parinacota / Arica
EPI_ISL_1534645	2020-11-30	2021-04-11	South America / Peru / Lima
EPI_ISL_1534667	2020-12-22	2021-04-11	South America / Peru / Lima
EPI_ISL_1540998	2021-03-14	2021-04-12	South America / Chile / Region Metropolitana de Santiago / San Jose de Maipo
EPI_ISL_1541001	2021-03-14	2021-04-12	South America / Chile / Region Metropolitana de Santiago / La Granja
EPI_ISL_1541005	2021-03-15	2021-04-12	South America / Chile / Region Metropolitana de Santiago / La Granja
EPI_ISL_1541011	2021-04-01	2021-04-12	South America / Chile / Ñuble / Chillan
EPI_ISL_1541012	2021-04-01	2021-04-12	South America / Chile / Ñuble / Chillan
EPI_ISL_1541018	2021-03-23	2021-04-12	South America / Chile / La Araucania / Temuco
EPI_ISL_1541020	2021-03-29	2021-04-12	South America / Chile / La Araucania / Pucon
EPI_ISL_1541021	2021-03-29	2021-04-12	South America / Chile / La Araucania / Temuco
EPI_ISL_1541022	2021-03-29	2021-04-12	South America / Chile / La Araucania / Padre Las Casas
EPI_ISL_1541026	2021-04-04	2021-04-12	South America / Chile / Maule / Teno
EPI_ISL_1541028	2021-04-05	2021-04-12	South America / Chile / Maule / Talca
EPI_ISL_1541030	2021-04-04	2021-04-12	South America / Chile / Maule / Molina
EPI_ISL_1541034	2021-04-05	2021-04-12	South America / Chile / Maule / Talca
EPI_ISL_1541037	2021-04-03	2021-04-12	South America / Chile / Region Metropolitana de Santiago / Lo Prado
EPI_ISL_1541039	2021-04-03	2021-04-12	South America / Chile / Region Metropolitana de Santiago / Pudahuel
EPI_ISL_1541047	2021-04-04	2021-04-12	South America / Chile / Biobio / San Pedro de la Paz
EPI_ISL_1541048	2021-04-04	2021-04-12	South America / Chile / Biobio / San Pedro de la Paz
EPI_ISL_1541049	2021-04-04	2021-04-12	South America / Chile / Biobio / Concepcion
EPI_ISL_1541050	2021-04-04	2021-04-12	South America / Chile / Biobio / Concepcion
EPI_ISL_1541052	2021-04-04	2021-04-12	South America / Chile / Biobio / San Pedro de la Paz
EPI_ISL_1541057	2021-04-05	2021-04-12	South America / Chile / Arica and Parinacota / Arica
EPI_ISL_1541061	2021-04-05	2021-04-12	South America / Chile / Arica and Parinacota / Arica
EPI_ISL_1541065	2021-04-04	2021-04-12	South America / Chile / Region Metropolitana de Santiago / Santiago
EPI_ISL_1541068	2021-04-04	2021-04-12	South America / Chile / Biobio / Los Angeles
EPI_ISL_1543099	2021-03-30	2021-04-12	North America / USA / New York / New York City
EPI_ISL_1560214	2021-03-13	2021-04-12	North America / USA / New Jersey
EPI_ISL_1561153	2021-03-13	2021-04-12	North America / USA / New Jersey
EPI_ISL_1561156	2021-03-13	2021-04-12	North America / USA / New Jersey
EPI_ISL_1562908	2021-03-18	2021-04-12	North America / USA / Colorado
EPI_ISL_1566705	2021-03-25	2021-04-13	Europe / Germany / North Rhine-Westphalia
EPI_ISL_1571342	2021-03-25	2021-04-13	Europe / Germany
EPI_ISL_1571932	2021-04-01	2021-04-13	Europe / Germany / North Rhine-Westphalia
EPI_ISL_1573157	2021-04-05	2021-04-13	Europe / Germany / North Rhine-Westphalia
EPI_ISL_1573164	2021-04-05	2021-04-13	Europe / Germany / North Rhine-Westphalia
EPI_ISL_1573171	2021-04-05	2021-04-13	Europe / Germany / North Rhine-Westphalia
EPI_ISL_1573172	2021-04-05	2021-04-13	Europe / Germany / North Rhine-Westphalia
EPI_ISL_1575150	2021-03-26	2021-04-13	North America / USA / Maryland
EPI_ISL_1578226	2021-03-24	2021-04-13	North America / USA / Connecticut
EPI_ISL_1581673	2021-03-25	2021-04-13	North America / USA / Georgia
EPI_ISL_1584004	2021-04-04	2021-04-14	Europe / United Kingdom / England
EPI_ISL_1591087	2021-01-20	2021-04-14	South America / Peru
EPI_ISL_1591088	2021-01-22	2021-04-14	South America / Peru
EPI_ISL_1591089	2021-01-22	2021-04-14	South America / Peru
EPI_ISL_1591090	2021-01-22	2021-04-14	South America / Peru
EPI_ISL_1591091	2021-01-20	2021-04-14	South America / Peru
EPI_ISL_1591092	2021-01-29	2021-04-14	South America / Peru
EPI_ISL_1591093	2021-01-30	2021-04-14	South America / Peru
EPI_ISL_1591094	2021-02-10	2021-04-14	South America / Peru
EPI_ISL_1591095	2021-02-16	2021-04-14	South America / Peru
EPI_ISL_1591097	2021-02-20	2021-04-14	South America / Peru
EPI_ISL_1609359	2021-03-25	2021-04-15	North America / USA / New Jersey
EPI_ISL_1610726	2021-03-30	2021-04-15	North America / USA / Florida
EPI_ISL_1610822	2021-03-31	2021-04-15	North America / USA / Florida
